City,State,Country,Venue,Alternate Names,Latitude,Longitude,,
Pittsburgh,,United States,Heinz Field,ACRISURE STADIUM,,,,
Pittsburgh,,United States,Mellon Arena,,,,,
Portland,,United States,Moda Center,,,,,
Portland,,United States,Rose Garden Arena,Moda Center,,,,
Quezon City,,Philippines,Smart Araneta Coliseum,,,,,
Raleigh,,United States,PNC Arena,Lenova Center,,,,
Raleigh,,United States,RBC Center,Lenova Center,,,,
Rapid City,,United States,Barnett Arena,,,,,
Rio de Janeiro,,Brazil,Estadio Nilton Santos,,-22.8926,-43.2964,,
Rosemont,,United States,Allstate Arena,,,,,
Rotterdam,,Netherlands,Sportpaleis van Ahoy,,,,,
Sacramento,,United States,Power Balance Pavilion,ARCO Arena,,,,
Sacramento,,United States,Sleep Train Arena,ARCO Arena,,,,
Saint Paul,,United States,Xcel Energy Center,,,,,
Saitama,,Japan,Saitama Super Arena,,,,,
Salt Lake City,,United States,EnergySolutions Arena,,,,,
San Antonio,,United States,AT&T Center,,,,,
San Diego,,United States,Petco Park,,,,,
San Diego,,United States,Valley View Casino Center,,,,,
San Jose,,United States,HP Pavilion,,,,,
Santa Clara,CA,United States,LEVI'S STADIUM,,37.403,-121.97,,
Santa Clara,,United States,Levi's Stadium,,,,,
Sao Paulo,,Brazil,Allianz Parque,,-23.5273,-46.678,,
Seattle,,United States,CenturyLink Field,Lumen Field,,,,
Seattle,,United States,KeyArena,,,,,
Seattle,WA,United States,LUMEN FIELD,,47.5952,-122.3316,,
Seoul,,South Korea,Olympic Gymnastics Arena,,,,,
Shanghai,,China,Mercedes-Benz Arena,,,,,
Singapore,,Singapore,National Stadium,,1.304,103.874,,
Singapore,,Singapore,Singapore Indoor Stadium,,,,,
Spokane,,United States,Spokane Arena,,,,,
St. Louis,,United States,Scottrade Center,Enterprise Center,,,,
St. Louis,,United States,The Dome at America's Center,,,,,
Stockholm,,Sweden,Friends Arena,,59.3728,18.0006,,
Sunrise,,United States,BankAtlantic Center,,,,,
Sydney,,Australia,Accor Stadium,,-33.8474,151.0631,,
Sydney,,Australia,Acer Arena,Qudos Bank Arena,,,,
Sydney,,Australia,Allianz Stadium,,,,,
Sydney,,Australia,Allphones Arena,Qudos Bank Arena,,,,
Sydney,,Australia,ANZ Stadium,Accor Stadium,,,,
Tacoma,,United States,Tacoma Dome,,,,,
Tampa,FL,United States,RAYMOND JAMES STADIUM,,27.975958,-82.503693,,
Tampa,,United States,Raymond James Stadium,,,,,
Tampa,,United States,St. Pete Times Forum,Benchmark International Arena,,,,
Tampa,,United States,Tampa Bay Times Forum,Benchmark International Arena,,,,
Tokyo,,Japan,Nippon Budokan,,,,,
Tokyo,,Japan,Tokyo Dome,,35.7056,139.7519,,
Tokyo,,Japan,Tokyo Dome,,,,,
Tokyo,,Japan,Zepp Tokyo,,,,,
Toronto,,Canada,Air Canada Centre,Scotiabank Arena,,,,
Toronto,,Canada,Rogers Centre,,,,,
Toronto,,Canda,Roger's Centre,,43.6414,-79.3894,,
Tulsa,,United States,BOK Center,,,,,
Twin Lakes,,United States,Country Thunder Festival,,,,,
Uncasville,,United States,Mohegan Sun Arena,,,,,
Uniondale,,United States,Nassau Veterans Memorial Coliseum,,,,,
University Park,,United States,Bryce Jordan Center,,,,,
Vancouver,,Canda,BC Place,,49.2768,-123.1116,,
Vancouver,,Canada,BC Place,,,,,
Vancouver,,Canada,BC Place Stadium,,,,,
Vancouver,,Canada,Rogers Arena,,,,,
Vienna,,Austria,Ernst-Happel-Stadion,,48.2067,16.4213,,
Warsaw,,Poland,PGE Narodowy,,52.2394,21.0458,,
Washington,,United States,Verizon Center,Capital One Arena,,,,
"Washington, D.C.",,United States,Nationals Park,,,,,
"Washington, D.C.",,United States,Verizon Center,Capital One Arena,,,,
Weston-under-Lizard,,England,Weston Park,,,,,
Wichita,,United States,Intrust Bank Arena,,,,,
Winchester,,United States,City of Rock,,,,,
Winnipeg,,Canada,Investors Group Field,Princess Auto Stadium,,,,
Winnipeg,,Canada,MTS Centre,Canada Life Centre,,,,
Zurich,,Switzerland,Stadion Letzigrund Zurich,,47.3663,8.5007,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
